k,required_points,returned points,miss%,color
20,2,2,0.0,Amer-Indian-Eskimo_Female
20,2,1,50.0,Amer-Indian-Eskimo_Male
20,2,2,0.0,Asian-Pac-Islander_Female
20,2,2,0.0,Asian-Pac-Islander_Male
20,2,2,0.0,Black_Female
20,2,2,0.0,Black_Male
20,2,2,0.0,Other_Female
20,2,1,50.0,Other_Male
20,2,2,0.0,White_Female
20,2,2,0.0,White_Male
40,4,4,0.0,Amer-Indian-Eskimo_Female
40,4,4,0.0,Amer-Indian-Eskimo_Male
40,4,4,0.0,Asian-Pac-Islander_Female
40,4,4,0.0,Asian-Pac-Islander_Male
40,4,4,0.0,Black_Female
40,4,4,0.0,Black_Male
40,4,4,0.0,Other_Female
40,4,4,0.0,Other_Male
40,4,4,0.0,White_Female
40,4,4,0.0,White_Male
60,6,6,0.0,Amer-Indian-Eskimo_Female
60,6,5,16.666666666666668,Amer-Indian-Eskimo_Male
60,6,6,0.0,Asian-Pac-Islander_Female
60,6,6,0.0,Asian-Pac-Islander_Male
60,6,6,0.0,Black_Female
60,6,6,0.0,Black_Male
60,6,6,0.0,Other_Female
60,6,6,0.0,Other_Male
60,6,6,0.0,White_Female
60,6,6,0.0,White_Male
80,8,8,0.0,Amer-Indian-Eskimo_Female
80,8,8,0.0,Amer-Indian-Eskimo_Male
80,8,8,0.0,Asian-Pac-Islander_Female
80,8,8,0.0,Asian-Pac-Islander_Male
80,8,8,0.0,Black_Female
80,8,8,0.0,Black_Male
80,8,8,0.0,Other_Female
80,8,8,0.0,Other_Male
80,8,8,0.0,White_Female
80,8,8,0.0,White_Male
100,10,10,0.0,Amer-Indian-Eskimo_Female
100,10,10,0.0,Amer-Indian-Eskimo_Male
100,10,10,0.0,Asian-Pac-Islander_Female
100,10,10,0.0,Asian-Pac-Islander_Male
100,10,10,0.0,Black_Female
100,10,10,0.0,Black_Male
100,10,10,0.0,Other_Female
100,10,10,0.0,Other_Male
100,10,10,0.0,White_Female
100,10,10,0.0,White_Male
